01-201005-212422_bem_fb0_elicit_0  ICALENGA UKUTI CIMBWI ABE NO MWENSO
01-201005-212422_bem_fb0_elicit_1  CIMBWI KALE NAO ALI NI NAMA NKALI NGA IFI FINE FYABA INKALAMO NE MBWILI
01-201005-212422_bem_fb0_elicit_2  NAO WINE ALEIKATA INAMA NA BANTU NA BANTU BALEMUTIINA NGANSHI
01-201005-212422_bem_fb0_elicit_3  NELYO AKALIPE FILYA ALEIKATILA NE NAMA LELO UBUPUKUSU BWENA NI UBU BWINE ABA NABO NA LINO LINE
01-201005-212422_bem_fb0_elicit_4  PANTU ALETI NGA AYIKATA INAMA TALEFWAYA KULYA ASHAKO KUTI NELYO EKWITE ABUYA FYE
01-201005-212422_bem_fb0_elicit_5  E PAFUMA NE SHINA LYA BUYA
01-201005-212422_bem_fb0_elicit_6  NAMWISHIBA ABANTU BATEMWA SANA NGA BASANGA INAMA YA KUTOOLA 
01-201005-212422_bem_fb0_elicit_7  LIMOLIMO ABANTU BALATAMFYA INKALAMO NELYO IMBWILI PA NSHITA INE YAIKATA INAMA NELYO TAILALYAPO 
01-201005-212422_bem_fb0_elicit_8  LELO CIMBWI WENA TALI IFYO IYO 
01-201005-212422_bem_fb0_elicit_9  NGA ABANTU BASANGA NAIKATA INAMA ALELYA TETI PABE NELYO UMO UWAKUTI AFIKEPO NAKALYA FYE 
01-201005-212422_bem_fb0_elicit_10  NELYO BABE IBUMBA SHANI TETI BAPALAMINE UKUFIKA APEKATILE CIMBWI INAMA 
01-201005-212422_bem_fb0_elicit_11  KUTI NGA BATWALA AMASANGE NINSHI BASANO BALEIKATWA PANTU ALIKWATISHE AMAKA NO BUKALI 
01-201005-212422_bem_fb0_elicit_12  AMENO YAKWE KUTI NGA AKOKOTA PE FUPA ILYA MUNTU KUTI WATI NI SOO APUTULA
01-201005-212422_bem_fb0_elicit_13  BUSHIKU BUMO CIMBWI ALIKETE IMPELEMBE ISONKOLI LYA NAMO NA MASENGO YAUMA NA PA MUSANA 
01-201005-212422_bem_fb0_elicit_14  AWE ALANOONA NA MENO ATI MWANDI NALAIPAKISHA
01-201005-212422_bem_fb0_elicit_15  PA KWIKATA ILYA NAMA ABANTU BA MU MUSHI UWAPALEMEKO BALIUMFWILE ICIKOLOMO CA NAMA NO MUGONTO WAKWA CIMBWI 
01-201005-212422_bem_fb0_elicit_16  BAISHIBA NO KWISHIBA UKUTI NI MFUMU YA BENE YAIKATA TE KWAKWESHA KUPALAMA 
01-201005-212422_bem_fb0_elicit_17  AWE BONSE TAKWAIMINE NELYO UMO
01-201005-212422_bem_fb0_elicit_18  ABANTU PA KUMONA IFI AWE CABASHIKITA SANA 
01-201005-212422_bem_fb0_elicit_19  BASUKA BASOSHANYA ABATI MWE BAUME MWE BUSHE KUTI TWACITA SHANI KULI II NAMA YAKALIPA IFI KABILI NA MAKA YALIKWATISHA UKUCILA NE NKALAMO 
01-201005-212422_bem_fb0_elicit_20  KUTI TWACITA SHANI PA KUIPAYA
01-201005-212422_bem_fb0_elicit_21  UMULUMENDO UMO ATI MUKWAI ALA INE NALIMONA PA MWIMBA APO INGILA KABILI NA MUNTU IPITA MWABA FYE NGE ASHILA MWABUTA NA TUTU
