12-201007-181124_bem_526_elicit_0  UMUNANDI APOLA UBWINGA BWAKWE
12-201007-181124_bem_526_elicit_1  UBUSHIKU NABO BWAKOKWELE NGANSHI NECO NALELE FYE UMUTWE USHILI TULO 
12-201007-181124_bem_526_elicit_2  KUTI NDETI FYE PANONO NAIMA UKUYAMONA IFYO UMULWELE ALI 
12-201007-181124_bem_526_elicit_3  KUTI BULECA FYE NASHIBUKA NASANGA UMULWELE NASHIBUKA KALE ALEBELENGA NE BUKU 
12-201007-181124_bem_526_elicit_4  CILYA AMONA FYE UKO NABUKA NAUMFWA ASOSA ATI MUNE EBA UYO MUNTU ANAYE UBWALI INSALA YAKALIPA
12-201007-181124_bem_526_elicit_5  INE NATALA NASUNGUKA NATI BUSHE CINECINE UMUNANDI NAPOLA  
12-201007-181124_bem_526_elicit_6  AWE NAMWIPUSHA NATI ULI SHANI MUNE 
12-201007-181124_bem_526_elicit_7  NAUMFWA ATI FYE NDI BWINO SANA MUNE TAPALI FYE NA KALENKALIPA NELYO KAMO 
12-201007-181124_bem_526_elicit_8  MUKWAI NASANTIKA NA LESA MUKULU PAMO NE MFUMU IYAFWAILE ULYA MUTI
12-201007-181124_bem_526_elicit_9  ICO KUKI WESU ALIUMFWILE UKUTI UMUNADI ALEFWAYA UBWALI BWANGU BWANGU ATEKAPO NO BWALI ANAYA ALETA TWALALYA NO KULYA 
12-201007-181124_bem_526_elicit_10  KWENA PA KUBALA NATONTONKENYE UKUMULESHA UKUTI ELYAKO NAMA PANTU E YAMULWALIKE 
12-201007-181124_bem_526_elicit_11  LELO NAISHIBA UKUTI TAPALI MUNANI UMBI ECO NAMULEKCLE FYE ALYA NO KULYA 
12-201007-181124_bem_526_elicit_12  CILYA TWAPWA UKULYA UBWALI AWE NE MFUMU YAFIKA 
12-201007-181124_bem_526_elicit_13  YALAIPUSHA UMUNANDI AITI MWASHIBUKA SHANI 
12-201007-181124_bem_526_elicit_14  ATI FYE AWE MUKWAI NDI FYE UMUTENDE NGANSHI NI NSALA FYE YACILAKALIPA NOMBA ICI NALYA UBWALI NABA FYE BWINOBWINO 
