01-200922-012211_bem_d31_elicit_0  BABA BANGA
01-200922-012211_bem_d31_elicit_1  MU CHINGOLA BALICILA PALI 100 LELO IMPENDWA ILACINJA PANTU ABABANA BAMO BALAKUUKA BAYA KU MATAUNI YAMBI
01-200922-012211_bem_d31_elicit_2  FINSHI IFYO MWACITILE PAKUTENDEKA
01-200922-012211_bem_d31_elicit_3  ILYO LESA ANSONSOMBELE UMUKU WAKU BALILAPO ILYO NALI KU CALO CA SOUTH AFRICA NAISHILE LONDOLWELA ABENAMWANDI
01-200922-012211_bem_d31_elicit_4  TWATAMPILE UKUYA MU MISEBO NOKUPOSA INSHITA NABANA ABALEKELESHIWA MWITAUNI LYESU 
01-200922-012211_bem_d31_elicit_5  LIMO LIMO TWALELALA APO BALALA MU MBALI YA MISEBO 
01-200922-012211_bem_d31_elicit_6  ABA BANA BATENDEKE UKUTUTEMWA 
01-200922-012211_bem_d31_elicit_7  ELYO KABILI BALITEMENWE IFYAKULWA KANSHI TWATAMPILE UKULABAPELAKO IFYAKULYA FIMO 
01-200922-012211_bem_d31_elicit_8  KWALIKO UMO UWAISHILELANDA PALI UYU MULIMO MU LUKUTA LWESU EICO BA MEMBALA NABAMBI BAIBIMBILE MULI UYU MULIMO 
01-200922-012211_bem_d31_elicit_9  TWATAMPILE UKUBWEKESHA ABA ABANA PASUKULU NOKUBALIPILILA AMALIPILO 
01-200922-012211_bem_d31_elicit_10  UMO PALI ABA ALEPWISHA AMASAMBILILO YAKWE UNO WINE MWAKA 
01-200922-012211_bem_d31_elicit_11  LELO KWENA ABENGI ISUKULU LYALIBASHUPILE UKUSAMBILILA BWINO PANTU TABAKWETE UKWAKWIKALA KANSHI ABANABO BALEBAKANA NOKUBASEKA 
01-200922-012211_bem_d31_elicit_12  ABA BALEKABILA ICIFULO UKWAKWIKALA
01-200922-012211_bem_d31_elicit_13  NIBANANI ABAILIMBA MULI UYU MULIMO
01-200922-012211_bem_d31_elicit_14  TWABA AMAYANDA YABILI FWEBANTUNGULULA UYU MULIMO BA KELVIN NABA JOYCE SAMWATA ELYO NABA PHILIP COLE NABENA MWABO BA DEBORAH 
01-200922-012211_bem_d31_elicit_15  TUTUNGILILWA NABA MUKABUNGWE KA IPUSUKILO CHILDREN'S TRUST ELYO NABENA KRISTU BAMO ABA MUNO CHINGOLA 
01-200922-012211_bem_d31_elicit_16  MUNSHIKU SHINONO ISHAPITA TWALIPOKELEKO IMISEPELA UKUFUMA KU KITWE CHAPEL ABATWAFWILE MU NSHILA ISHALEKANA LEKANA 
01-200922-012211_bem_d31_elicit_17  ICI CALI ICISUMA NGANSHI KABILI CALITUKOSELESHA
01-200922-012211_bem_d31_elicit_18  TULONDOLWELENIKO PA FIKULWA IFI MULEKULA
01-200922-012211_bem_d31_elicit_19  TULEFWAYA UKUKULA AMAYANDA YASANO UMWINGEKALA ABANA EIGHTY UKUFIKA NA KULI HUNDRED 
01-200922-012211_bem_d31_elicit_20  IMO PALI AYA MAYANDA ILIFYE MUPEPI NOKUPWA 
01-200922-012211_bem_d31_elicit_21  KUNTANSHI TULEFWAYA UKULUNDAKO NA FIMBI IFILEFWAIKWA PAKUTI ABA BANA BAKALEKANSHIWA MU MILIMO YA BUMAKANIKA BU KAPENTA MUFYA KUBILA ELYO NOBULIMI 
01-200922-012211_bem_d31_elicit_22  ELYO KABILI TULEFWAYA NOKUKULA ICIPATALA CA ABABANA ELYO NABEKALAMUSHI
01-200922-012211_bem_d31_elicit_23  MUKAFIKILISHA SHANI UMULIMO WAKULA IFI
01-200922-012211_bem_d31_elicit_24  UKUPITILA MULI SHIKULU PANTU ABOMFYA ICILONGANINO CAKWE PALI INO NSHITA SANA SANA ABAKU BULAYA ELYO NAKU CANADA 
01-200922-012211_bem_d31_elicit_25  LELO TULEFWAYA NEFILONGANINO FYESU FYAIBIMBAMO MULI UYU MULIMO PAMO NGA ICILONGANINO CA BETHEL CHAPEL ELYO NA KITWE CHAPEL IFYAIBIMBAMO
01-200922-012211_bem_d31_elicit_26  NI MUNSHILA NSHI ABENA KRISTU MUNO ZAMBIA BENGAIBIMBILAMO MULI UYU MULIMO
01-200922-012211_bem_d31_elicit_27  KUTI BATUMA ULUPIYA NANGU IFYAKULYA NAKABILI KUTI BATUPEPELAKO PANTU UMULWANI ALATULWISHA SANA 
01-200922-012211_bem_d31_elicit_28  BALYA ABAKANSHIWA MU MULIMO PAMO NGA IYAKWAFWILISHA ABANTU ABALEKANA LEKANA KUTI BAISA NOKWAFWILISHA 
01-200922-012211_bem_d31_elicit_29  ABABANA BABA NEFISENDO IFINGI LELO TABAISHIBA NOWINGABATULAKO IFI FISENDO 
01-200922-012211_bem_d31_elicit_30  MU NSHIKU SHINONO ISHAPITA UMO PALI ABABENE ABANA ALIFWILE KU KITWE 
01-200922-012211_bem_d31_elicit_31  ABANANKWE TABAISHIBE IFYO BENGACITA EICO BALITWITILE 
01-200922-012211_bem_d31_elicit_32  TWAPEKENYE IMBOKOSHI ELYO NOKUKWATA AMAPEPO YAPA CILILO PALYA PENE PA CISANKANO
01-200922-012211_bem_d31_elicit_33  NATOTELA SANA MUKAI LESA UMWINE AMIPALE MULI UYU MULIMO UUKANKALA NGANSHI
01-200922-012211_bem_d31_elicit_34  UKUTOTELA PA BUYANTANSHI BWA MULIMO
01-200922-012211_bem_d31_elicit_35  IMIBOMBELE YABU CISHINKA KU BABOMFI
01-200922-012211_bem_d31_elicit_36  ABABOMFI BABE ABAANGWA NO KUIPELESHA
01-200922-012211_bem_d31_elicit_37  UKULEMBESHA AKABUNGWE KA ICT KU BUTEKO
01-200922-012211_bem_d31_elicit_38  UKUTUNGILILWA UKUFUMA MUNO ZAMBIA NA KUNSE
01-200922-012211_bem_d31_elicit_39  UKUCINGILILWA AKASUBA ELYO NOKUCINGILILWA KWA NCENDE UBUSHIKU
01-200922-012211_bem_d31_elicit_40  AMAPEPO YALUCELO ELYO NOKUSHIMIKILA ABABOMFI ELYO NABEKALA MUSHI
01-200922-012211_bem_d31_elicit_41  BA WILLIES MUKULUMOYA BAMALONDA WABUSHIKU BACILI BALILUBA
01-200922-012211_bem_d31_elicit_42  ABANTU ABALINGILE UKULASUNGA AYA AMAYANDA YABANA ABALEKELESHIWA
01-200922-012211_bem_d31_elicit_43  NDEMWEBA ICINE CINE UKUTI LYONSE ILYO MWAKUMBUSWIKE MUNYINANE UMO NANGU ENGACEPA SHANI NINSHI NINE WINE MWAKUMBUSWIKE
01-200922-012211_bem_d31_elicit_44  ILIPUSHO NO BWASUKO
01-200922-012211_bem_d31_elicit_45  PESAMBA LYA UYU MUTWE TWAPEELA INCENDE KULI BAKABELENGA WESU KU KWIPUSHA AMEPUSHO AYALI YONSE AYO BENGAKWATA 
01-200922-012211_bem_d31_elicit_46  BAKABELENGA BAMBI KUTI BATUMA AMASUKO 
01-200922-012211_bem_d31_elicit_47  TUKAFUMYA MULI FYONSE FIBILI IFYOTUKAMONA UKUTI KUTI FYAYAFWILISHA ABANTU ABENGI MU FILONGANINO FYESU 
01-200922-012211_bem_d31_elicit_48  NGACAKUTILA ILIPUSHO LYENU LIKUMINEFYE IMWE MWEKA TUKESHA UKUMIPELA UBWASUKO BUMIKUMINE UKUPITILA MUKUMILEMBELA KALATA NANGU EMAIL
01-200922-012211_bem_d31_elicit_49  ILIPUSHO LYAKUBALILAPO NA KABILI 
