01-200929-215409_bem_fb0_elicit_0  UWAKALEMA TAKALEKA
01-200929-215409_bem_fb0_elicit_1  UBUSHIKU BUMO JONI BOWA ALEFUMA KU MASHITOLO NANINA NA PA NCINGA YA BANALUME 
01-200929-215409_bem_fb0_elicit_2  MU SHILA ASANGA CIKASHANA UMO IFI UWAWAMA NGO LUTANDA LWA MU MULU NA MAFIGA NGE BESENI NAIMININA MU MBALI YA MUSEBOALELOLESHA UKWALEFUMA JONI 
01-200929-215409_bem_fb0_elicit_3  CILYA JONI APALAMA CIKASHANA ATAMPO KULOLESHA KU NCINGA YALI NA JONI PAKUTI AMONE NGA KULI POMPI ASHIMEKO PANTU INCINGA YAKWE YALIPOMPOLWEKE 
01-200929-215409_bem_fb0_elicit_4  KU ISHUKO NANGU LISHAMO KATWISHI INCINGA YAKWA JONI YALIKWETE POMPI NAO UMUSUMA SAANA JONI TALATI APITE CIKASHAMA AIMYA UKUBOKO ATI
01-200929-215409_bem_fb0_elicit_5  PLEASE GENTLEMAN NJASHIMENIKO POMPI WENU IMPOPELEKE INCINGA YANDI NAIPOMPOLOKA
01-200929-215409_bem_fb0_elicit_6  MUKWAI JONI KUTI CILIA ALOLESHA UWAMWIMINIKA ACENWA KU FIMENSO FYAKWA CIKASHANA IFYABUTISHA 
01-200929-215409_bem_fb0_elicit_7  KUTI PA KWIMIKA INCINGA ATI AWE NO KUWA MU MUTIMA ATI NO KUTI KWENA NALISHUKA PA KULANDA NA CIKASHANA WA MUSANGO UYU
01-200929-215409_bem_fb0_elicit_8  JONI ASOMONA POMPI KU NCINGA ATAMBIKA NA CIKASHANA NAO APOKA ASANTIKA ATI SANTI SANA MUKWAI
01-200929-215409_bem_fb0_elicit_9  UMUKASHANA CILYA ATAMPO KUPOMPE NCINGA JONI ALEMULOLESHAFYE 
01-200929-215409_bem_fb0_elicit_10  AWE LIMBI ICO AMONA TALEPOMPA BWINO ELYO AMWIPUSHO ATI BUSHE KUTI NAMWAFWAKO UKUPOMPA
01-200929-215409_bem_fb0_elicit_11  UMUKASHANA MUKWAI KUTI NASHUKILA FYE ULUSE LWENU SANTI
01-200929-215409_bem_fb0_elicit_12  JONI APOKA POMPI ALAPOMPA CIKASHANA AIKATA INCINGA SHONSE SHIBILI 
01-200929-215409_bem_fb0_elicit_13  CILYA JONI ACILI MU KUPOMPA CIKASHANA ALEMULOLEKESHA ASUKA AMWIBUKISHA 
01-200929-215409_bem_fb0_elicit_14  EPA KWIPUSHA ATI BUSHE NIWE AUMWONE UWAINGISHE MPILA ISHIKALI LILYA BA KITWE BAISHILE
01-200929-215409_bem_fb0_elicit_15  JONI EE MUKWAI NINE WINE BUSHE KANSHI E MPILA ISHIKALI NI SHILYA
01-200929-215409_bem_fb0_elicit_16  CIKASHANA EE KWENA SHALIKALIPE MWE TAMULEMONA JONTIE W ABA KAWE AFILILWE NO KUSHIIKATA
01-200929-215409_bem_fb0_elicit_17  JONI ATEMWA SANA PA KUMFWA CIKASHANA ALI NE LYASHI ILITALI NE NSONI TAKWETE
01-200929-215409_bem_fb0_elicit_18  CIKASHANA AKONKANYAPO ATI BUSHE LILYA ISINA BALEMULUMBA MU MPILA ILYA JONIE E SHINA LYENU
01-200929-215409_bem_fb0_elicit_19  JONI MUKWAI ABANA BA MUNO MUFURILA ECO IBULENGA KULOWA BATINI EFYO BAFULUNGANYA INSHINA LYANDI
