01-200922-090011_bem_d31_elicit_0  BUSHE LUBALI NSHI INTUNGULUSHI SHA MISEPEELA SHINGABULAMO
01-200922-090011_bem_d31_elicit_1  INTUNGULUSHI SHA MISEPEELA SHIFWILE SHACIMONA UKUBA ICIKANKALA SANA UKUBA PAKATI KA MISEPELA NA BAKOTE 
01-200922-090011_bem_d31_elicit_2  SHIFWILE UKUTUNGULULA ABANA BANONO ELYO NO KUPANDA ICILONGANINO AMANO KU MAFYA ELYO NEFILECUSHA ABANA BANONO
01-200922-090011_bem_d31_elicit_3  BAFWILE BABA ABAKUMWENAKO ABASUMA 
01-200922-090011_bem_d31_elicit_4  ABASHISUSHA ABANABO LELO ABAPEPA NO KUBOMBA
01-200922-090011_bem_d31_elicit_5  UMULIMO WA NTUNGULUSHI YA MISEPEELA TE KUTULIKA IFILUBO PA BANTU LELO IIFWILE YAIBIKAMO NOKUPWISHA IFILUBO BWINO 
01-200922-090011_bem_d31_elicit_6  UKUTEMWA KUTI KWAPWISHA AMAFYA AYENGI
01-200922-090011_bem_d31_elicit_7  BUSHE MWALISHIBAPO IFILONGANINO FIMO UMO ABAKOTE NA BANA BANONO BASANSAMUKA NO KUBA NE SENGE UMO NO MUNANKWE
01-200922-090011_bem_d31_elicit_8  BUSHE PAKUTI BAFIKE PALI ICI BACITILE SHANI
01-200922-090011_bem_d31_elicit_9  EE IFYO IFI FILONGANINO FYACITA FYALI BULA ABALI MU FYUPO UKULABOMBELA PAMO NABANA BANONO 
01-200922-090011_bem_d31_elicit_10  AMAYANDA YABO YALIBA AYAISUKA NAKU BANA BANONO 
01-200922-090011_bem_d31_elicit_11  ICATUMBUKAMO CAKUTILA ILYO ABANA BANONO BASANGWA NA MAFYA BALISHIBA UKUTI BALI NA BANTU ABO BENGALANDA NABO 
01-200922-090011_bem_d31_elicit_12  IFI FILONGANINO FYALIPELA IMILIMO KU MISEPEELA IYO BALI NOKUBOMBA MU CILONGANINO 
01-200922-090011_bem_d31_elicit_13  ICI CILENGA ABANA BANONO UKUBULAMO ULUBALI NO KUBA ICIPUTULWA CA MUBILI WAKWA YESU
01-200922-090011_bem_d31_elicit_14  EE NINJISHIBA NA FIMBI IFYAKUMWENAKO 
01-200922-090011_bem_d31_elicit_15  MULI IFYO FILONGANINO INTUNGULUSHI SHALYUMFWIKISHA UKUTI ABANA BANONO EBUYANTANSHI BWA CILONGANINO 
01-200922-090011_bem_d31_elicit_16  BACILOLO BALATUNGILILA INTUNGULUSHI SHA MISEPEELA NO KUBACINGILILA 
01-200922-090011_bem_d31_elicit_17  TABABATENTEMBA LELO BABA ABAIPEKANYA NGA BAMPANDA MANO 
01-200922-090011_bem_d31_elicit_18  BALATWALILILA UKULANSHANYA NABANA BANONO ELYO NOKUBAKOSELESHA UKUIBIMBAMO MU CILONGANINO MUKATI NA KUNSE MUKULONGANA KWA CINKUMBAWILE 
01-200922-090011_bem_d31_elicit_19  BACILOLO KABILI BAFWAIKWA UKUBA ABASHIPA MUKUKALIPILA BA MUNYINA NE NKASHI ABALANDA NO KUSUUSHA ABANA BANONO 
01-200922-090011_bem_d31_elicit_20  BAFWILE BASOSA APABUTA UKUTI TATULEFWAYA UKUTAMFYA ABANA BANONO MUMASHIWI YAKABOSA MPUKU 
01-200922-090011_bem_d31_elicit_21  ULUBALI LUMBI NALO ABANA BANONO TABAFWILE UKUSUMINISHIWA UKULASALULA BAMUNYINA NENKASHI SHABO ISHIKOTE IYO
01-200922-090011_bem_d31_elicit_22  NATOTELA SANA PA MASUKO YENU AYA NSEKESHA NO KUNGAFWA
01-200922-090011_bem_d31_elicit_23  BA SIMON BANDA ABENA NDOLA ABALI MU CUPO NO MWANA UMO
01-200922-090011_bem_d31_elicit_24  BAKAFUNDISHA PA GLO MU NDOLA
01-200922-090011_bem_d31_elicit_25  ABASANGWA MUKULONGANA NA MUMILIMO YA MISEPEELA PA MYAKA IINGI UKUFUNDISHA MU BUTUNGULUSHI BWA CILONGANINO NA MUKULEMBA AMABUKU
01-200922-090011_bem_d31_elicit_26  BA LOTHAR JUNG ABENA GERMANY ABALI MU CUPO NABANA BANE
01-200922-090011_bem_d31_elicit_27  INTUNGULUSHI MU CILONGANINO
01-200922-090011_bem_d31_elicit_28  ABAKUMANYA IMYAKA TWENTY FIVE MU MILIMO YA MISEPELA IYAKULONGANA NO KUBILA IMBILA
01-200922-090011_bem_d31_elicit_29  PALI NOMBA EBALETUNGULULA UMULIMO PAKATI KA MISEPELA MUFILONGANINO FYONSE IFYA CHRISTIAN BRETHREN KU GERMANY
01-200922-090011_bem_d31_elicit_30  BUSHE IMWE NI SHANI
01-200922-090011_bem_d31_elicit_31  BUSHE FINSHI MWAPITAMO NA BENA KRISTU BANONO NA BAKOTE MU CILONGANINO 
01-200922-090011_bem_d31_elicit_32  BUSHE MAFYA NSHI MWAMWENE KABILI YAPWILE SHANI 
01-200922-090011_bem_d31_elicit_33  BUSHE UBWAFWILISHO BWAPELA BA MUNYINEFWE ABA BABILI KUTI BWABOMBA MU FILONGANINO FYA MU MISUMBA IKALAMBA NA MUMISHI
01-200922-090011_bem_d31_elicit_34  KUTI TWATEMWA UKUMFWA KULI IMWE BONSE ABENA KRISTU ABANONO PAMO NABAKALAMBA
01-200922-090011_bem_d31_elicit_35  NATUSAMBILISHANYE 
01-200922-090011_bem_d31_elicit_36  TULEMBELENI BWANGU PAKUTI TUTONTONKANYE NO KUKULILA CAPAMO
01-200922-090011_bem_d31_elicit_37  AMASHIWI YANTANSHI
01-200922-090011_bem_d31_elicit_38  UMUTENDE NO KUSENAMINA IFIFUMA KULI SHIFWE LESA NA SHIKULU YESU KRISTU FIBE NAIMWE BONSE MWE BALEBELENGA AKA KASEBO 
01-200922-090011_bem_d31_elicit_39  AWE MUKWAI NDI PANSHI NDETOTA KULI LESA WESU PAKUTILA NAUNO MWAKA ALITUSUMINISHA UKUKWATA UKUKUMANA KUNTU TUKWATA CILA MWAKA 
01-200922-090011_bem_d31_elicit_40  MUKWAI NGA MWALIPUSWA KULI UKU KULONGANA NINSHI LEKENI MWEBE IFYO MWALIPUSWA KU MAPALO YAKWA LESA 
01-200922-090011_bem_d31_elicit_41  TWALIPALILWE APAKALAMBA KU BA BOMFI BAKWA LESA
01-200922-090011_bem_d31_elicit_42  UNO MWAKA KWALI ABANTU ABENGI UKUCILA MU MWAKA WAFUMAKO 
01-200922-090011_bem_d31_elicit_43  AMA CENTRES AYENGI YALISHILE YONSE NI EIGHTEEN ELYO FWEBENE TWALIFIKA KULI NINETY 
01-200922-090011_bem_d31_elicit_44  ABA BONSE BABOMFI BAKWA LESA BAMO NIBA KABILA WA MBILA NSUMA ELYO BAMBI NINTUNGULUSHI SHA FILONGANINO
01-200922-090011_bem_d31_elicit_45  SEMINAR YATENDEKE PA MONDAY TWENTY SIX JANUARY UKUFIKA PA FRIDAY THIRTY JANUARY TWO THOUSAND AND NINE UKUKUMANA UKU KWABELELE PA SAMFYA BIBLE SCHOOL APO TUKWATILA CILA MWAKA
01-200922-090011_bem_d31_elicit_46  UMULANDU TWAKUMANINE
01-200922-090011_bem_d31_elicit_47  UMULANDU TWAKUMANINE KWESHA UKUICINCISHA MUMULIMO UNTU TWABA NAO UWA KUBOMBELA SHIKULU
01-200922-090011_bem_d31_elicit_48  UMULANDU UUKULU TWALELOLEKESHAPO UNO MWAKA KULENGA ABASAMBI 
01-200922-090011_bem_d31_elicit_49  KWALI UKUSOPOLOLA UYU MULANDU MUFIPUTULWA IFINGI UKULINGANA NEFYO CILA KAFUNDISHA APELWE ULUBALI LWAKULANDAPO PAMO NGEFI 
