01-180101-020958_bem_d31_elicit_0  NATWIKALE PANSHI
01-180101-020958_bem_d31_elicit_1  KKKKUSUMA TEFYO
01-180101-020958_bem_d31_elicit_2  EEH NNNASUMINA
01-180101-020958_bem_d31_elicit_3  AKATALAMUKILA
01-180101-020958_bem_d31_elicit_4  TWIGA TWIGA MUTUULE BUSHE ULI KWI
01-180101-020958_bem_d31_elicit_5  ING'WENA ING'WENA TASHABAKO MWILAUMFWILA IFYO FYONSE BASOSA NI MPUKU SHABOLA
01-180101-020958_bem_d31_elicit_6  TAFYALIKO TAFYABAKO TAFYAKABAKO
01-180101-020958_bem_d31_elicit_7  MONA UMULANDO UYO ULEELELA PA MENSHI
01-180101-020958_bem_d31_elicit_8  TAKWABA IFYO FINTU IFIITWA ING'WENA
01-180101-020958_bem_d31_elicit_9  TAUMFWILEPO FIMO
01-180101-020958_bem_d31_elicit_10  BUSHE LUSEKO LWA MUKATI NANGU MWELA
01-180101-020958_bem_d31_elicit_11  ING'WENA  FYAKUSEKESHAFYE
01-180101-020958_bem_d31_elicit_12  NI BANI ABASUMINA MU NG'WENA ABAPUMBU FYE CAPWA
01-180101-020958_bem_d31_elicit_13  MU LUBALI LUMBI ULWA MPANGA
01-180101-020958_bem_d31_elicit_14  NGUMFWILE AMENSHI YASABUKA KULYA
01-180101-020958_bem_d31_elicit_15  NA INE
01-180101-020958_bem_d31_elicit_16  NGUMFWILE ICANI CALILA
01-180101-020958_bem_d31_elicit_17  KU NUMA YESU
01-180101-020958_bem_d31_elicit_18  NAINE
01-180101-020958_bem_d31_elicit_19  AMENO AYAATWA UKKUCILA AYA MBWILI 
01-180101-020958_bem_d31_elicit_20  AKANWA UKUCILA AKA MFUBU 
01-180101-020958_bem_d31_elicit_21  INGALA ISHITALI UKUCILA ISHA KALAMO 
01-180101-020958_bem_d31_elicit_22  NO MUPU UUBI UWAKABA UUNUNKA KWATI NI NAMA IYAFUNDA
01-180101-020958_bem_d31_elicit_23  ABO BALI PALYA TWIGA
01-180101-020958_bem_d31_elicit_24  FWILUKILENI PA MUKOSHI WANDI TUKOLWE
01-180101-020958_bem_d31_elicit_25  NGA TUTILA TATWABA NA BUBIFI NINSHI TULAIBEPA NE CISHINKA TAMWABA MULI IFWE
01-180101-020958_bem_d31_elicit_26  LELO NGA TULAYEBELELA IFYABUBIFI FYESU KULI LESA APO WENA WACISHINKA ALACITA IFYO ALAILE
01-180101-020958_bem_d31_elicit_27  ALATUBELELA ULUSE KU FYABUBIFI FYESU FYONSE NO KUTUSAMBA KU FIBI FYONSE IFYO TUCITA
01-180101-020958_bem_d31_elicit_28  LYO BAFIKILE PA NCENDE IISUMA TWIGA ABIKILE TUKOLWE TUBILI PAMULU WA CULU
01-180101-020958_bem_d31_elicit_29  EKO SHABA ING'WENA CISHINKA NA MENO NE NGALA NO TUNWA UTWA NSALA ELYO NA IMICILA ISHAKUTINA
01-180101-020958_bem_d31_elicit_30  TWASUMINA MU NG'WENA
01-180101-020958_bem_d31_elicit_31  TUKOLWE TULYA TUMPUNDU TWALIPUSUKA PA MULANDU WAFYO INDYABULUBA YACITILE
01-180101-020958_bem_d31_elicit_32  KULI IMWE NA INE PA LWESU TAKWABA KUFULUMUKA ULUBEMBU
01-180101-020958_bem_d31_elicit_33  NO LUBEMBU MU CINEFYE EKO LWABA
01-180101-020958_bem_d31_elicit_34  LELO SHIKULU YESU KUTI ATUPUSUSHAKO
01-180101-020958_bem_d31_elicit_35  ICIPINGO CITILA NGA TUTILA TATULI NO LUBEMBU TULAIBEPA NE CINE MULI IFWE TAMULI 
01-180101-020958_bem_d31_elicit_36  NGA TUYEBELELE MEMBU SHESU WENE WA CISHINKA KABILI MULUNGAMI KUTI ATULEKELELE MEMBU NO KUTUSANGULULA KU KUULUNGANA KONSE
01-180101-020958_bem_d31_elicit_37  NGA IMWE NANGU INE TWATILE TAKWABA ING'WENA
01-180101-020958_bem_d31_elicit_38  KUTI TWABA ABALUNGIKA
01-180101-020958_bem_d31_elicit_39  KUTI TWABA ABALUBA
01-180101-020958_bem_d31_elicit_40  INDYABULUBA YALISUMINE MU NG'WENA
01-180101-020958_bem_d31_elicit_41  NGA TAYACETEKELE BAKOLWE NGA BALIFWILE
01-180101-020958_bem_d31_elicit_42  UMUTWE UKUSUMBILA KU BWIKASHI BWA BUMPOMFU
01-180101-020958_bem_d31_elicit_43  IYI CONFERENCE YA BUBILI YABELELE MU MUSUMBA WA KABWE PA CONFERENCE CENTRE PA NCENDE IYO ALI KALE INCENDE YAKWA JIMMY FORD UMO PALI BAMINSHONI BANTANSHI 
01-180101-020958_bem_d31_elicit_44  ICIPENDO CA BANTU CALESUMBILA KU MYANDA ITATU UKUFUMA MU FYALO IKUMI LIMO NA PABULA EBASANGILWEKO
