05-200917-105852_bem_a40_elicit_0  PATILE AKANTU  
05-200917-105852_bem_a40_elicit_1  MUKWAI ILYO IMFUMU YAPEKENYE UMWANA WAKWE UKWEBA ATI UUKOPA KAMOFYE AKAPWISHE INSUPA YA BWALWA   
05-200917-105852_bem_a40_elicit_2  ABALUMENDO MU MUSHI BALEISA BA CAKOLWA ABENE BENE  
05-200917-105852_bem_a40_elicit_3  ILYO BALEISA BALECITAFYE NGA ANWAPO UMUSA UMO UWA BUBILI AWE AMAKA YAPWA ABWELELAMO  
05-200917-105852_bem_a40_elicit_4  KWAISA NA UMBI ANWA AMAKA YAPWA 
05-200917-105852_bem_a40_elicit_5  BEBELE BANE BULYA BWALWA BWABA KULYA NI TEPETEPE TE BWALWA BWAKUTWALA AMASANGE
05-200917-105852_bem_a40_elicit_6  ABALUMENDO BEBELE AAHA IMWE TAMULI BA CAKOLWA KANO FWE BENE BENEFYE FWE NKONKOTELA BA CAKOLWA  
05-200917-105852_bem_a40_elicit_7  KWAISA NA UMBI AWE ABALUMENDO MU CALO MU MFUMU MULYA BAPWA BONSE UKUFILWA UBWALWA  
05-200917-105852_bem_a40_elicit_8  UBUSHIKU BUMO KWAISHILE KA KALULU 
05-200917-105852_bem_a40_elicit_9  KA KALULU KEBELE AAHA KWENA UKU EKO BASHIMIKA UMWANAKASHI WA KUPA UMWANA WA MFUMU 
05-200917-105852_bem_a40_elicit_10  NE SHINA LYAKWE NI BWALYA 
05-200917-105852_bem_a40_elicit_11  ULYA BWALYA ALI MUSUMA UWA WAMISHA
05-200917-105852_bem_a40_elicit_12  KA KALULU KALI ISA FIKA KU CIPANGO 
05-200917-105852_bem_a40_elicit_13  KAISA KUMANYA BA KAPASO NISHANI IWE
05-200917-105852_bem_a40_elicit_14  NEBO ICO NAISHILA KUPA UMWANA WA MFUMU
05-200917-105852_bem_a40_elicit_15  WEBO  ABANTU UBWINGI BAPWA UKUFILWA 
05-200917-105852_bem_a40_elicit_16  IWE NIWE WINGOPA UMWANA WA MFUMU
05-200917-105852_bem_a40_elicit_17  ATI NEBO LELO NDEMUPA NANGU MAILO NKAMUPA CEBO  
05-200917-105852_bem_a40_elicit_18  NEBO NINEBO NSHINWA BUCE  
05-200917-105852_bem_a40_elicit_19  ESHINA KA ILUMBILE NSHINWA BUCE
05-200917-105852_bem_a40_elicit_20  AAHA KATWALENI KU MFUMU 
05-200917-105852_bem_a40_elicit_21  BAKATWALA KU MFUMU
05-200917-105852_bem_a40_elicit_22  ODINI ATI KALIBU MUKWAI
05-200917-105852_bem_a40_elicit_23  AAHA MUKWAI NALETAKO AKA KASHIKULU UKWEBA ATI KANGESA UPA UMWANA WENU
05-200917-105852_bem_a40_elicit_24  AKA KENE AKAWELE WELE
05-200917-105852_bem_a40_elicit_25  KAPASO ATI UYU WINE MUKWAI NAINE WINE NA CIMWEBA IFYO
