01-200918-120021_bem_d31_elicit_0  NOKUITUNKILISHA KWABO UKWA KUBA NGA KRISTU MU NCENDE BEKALILAMO
01-200918-120021_bem_d31_elicit_1  IYI MAGAZINE YAKULALETA PABWELU BAKABELENGA KUTUSEBO TWAKWAFWILISHA NA MATONTONKANYO UKUFUMA MU MULIMO WAKWA LESA MU NCENDE SHIMBI
01-200918-120021_bem_d31_elicit_2  IYI MAGAZINE LIMO LIMO YAKULALANDA PA MISANGO IYABIPA MUKATI NAKUNSE YA FILONGANINO
01-200918-120021_bem_d31_elicit_3  IYI MAGAZINE YAKULAPEELA INSAMBU IYA KULENGA ABANTU UKUPEELA AMATONTONKANYO YABO PA FIKOMO IFYALEKANA LEKANA MU KWAFWILISHA ABATETEKELA UKUKUULA PAFISUMINO FISUMA 
01-200918-120021_bem_d31_elicit_4  NE FILONGANINO UKULENGA ICIMONWA CAMAPANGE YAKWA LESA UKUMONEKA BWINO BWINO MULI BENA MU MYAKA ILEISA
01-200918-120021_bem_d31_elicit_5  IYI MAGAZINE ILEBA NINTULO YELYASHI LYAKWAFWILISHAPA FINTU IFIKANKALA IFILI FYONSE IFIKUMINE PABWIKASHI ELYO NA PABUPYUNGISHI
01-200918-120021_bem_d31_elicit_6  TUFWILE TWAISULA NA MENSO YESU KU BANTU BAMBI ABENGABIKWAMO
01-200918-120021_bem_d31_elicit_7  IYI NAYO NINSHILA IYO IYI MAGAZINE NATULEYA  LET'S GO ITENDEKELEMO NOMBA 
01-200918-120021_bem_d31_elicit_8  PANUMA YA KWIPUSHA INTUNGULUSHI ISHINGI MU NCENDE SHALEKANA LEKANA 
01-200918-120021_bem_d31_elicit_9  INDUME SHINE SHASALILE UKWAFWILISHA MUKUTENDEKA KWA UYU MULIMO UPYA NOKUTUNGULULA MPAKA NASHIMBI INTUNGULUSHI SHIKAILUNDEKO KWI BUMBA LYA BUMPANDAMANO 
01-200918-120021_bem_d31_elicit_10  BAPANGILE AMABUYO LOLESHENI AKABOKOSHI KALI KEKA NE FIPOMPE FITAMPILEPO FIBILI FILETILA
01-200918-120021_bem_d31_elicit_11  IYI MAGAZINE ILEIMININAFYE PA MALEMBO YAKWA LESA NAPA NSHITA IMO INE YAKULALANDA MU BWIKASHI BWA CILA BUSHIKU UBWA BENA KRISTU MU MISHI ELYO NAMU MISUMBA
01-200918-120021_bem_d31_elicit_12  IYI MAGAZINE TAYABE CIBOMBELO CAFIKANSA IFILI FYONSE
01-200918-120021_bem_d31_elicit_13  NACITWALILILAPO UKULONDOLOLWA UKUTI IYI MAGAZINE ILESUBILWA LUBALI LUMO UKUBOMBELA IBUMBA ILIKALAMBA ILYA BACITETEKELO CA EVANGELICAL 
01-200918-120021_bem_d31_elicit_14  LELO KULUBALI LUMBI NAIKWATA ICISHIBILO CAKUTI ILEFUMA KU CILONGANINO CA CHRISTIAN BRETHREN CHURCH
01-200918-120021_bem_d31_elicit_15  EICO TULESUBILA UKUTI BAKABELENGA UKUFUMA KU NKUTA SHIMBI BAKULATWELELAKO MU NSHITA ILYO TWALANDA PA MULANDU UMO UUKUMINEFYE AMABUMBA YA FILONGANINO FYESU
01-200918-120021_bem_d31_elicit_16  AMA MAGAZINE YA BENA KRISTU AYENGI YABOMBWA NA ABAIPELESHA AMAVOLUNTEERS
01-200918-120021_bem_d31_elicit_17  ICO CILEPILIBULA ATI INDUME NE NKASHI UKUFUMA MU FILONGANINO SHIKALA AFWILISHA MU MILIMO YONSEFYE IYILUMBWILWE PA MULU 
01-200918-120021_bem_d31_elicit_18  EFYO BALEBOMBELA LESA NE FILONGANINO FYABO UKWABULA UKUSUBILA AMALIPILO 
01-200918-120021_bem_d31_elicit_19  MULI IYO NSHILA UMUTENGO UYO BAKABELENGA BAFWILE UKULIPILA KULI MAGAZINI YABO UKABA UO BENGAKWANISHA 
01-200918-120021_bem_d31_elicit_20  UYU MAGAZINI UMUPYA NATULEYA  LET'S GO AKALAKWATA AMABULA THIRTY TWO CILA NSHITA 
01-200918-120021_bem_d31_elicit_21  ELYO TULEESHA UKUIPANGA PA MUTENGO WA THREE THOUSAND KWACHA IMO  NGA KULI ABAKWAFWILISHAFYE UKWABULA UKULIPILWA MUKUPANGA ELYO NA MUKUISABANKANYA
01-200918-120021_bem_d31_elicit_22  NA CIMBI PALI ICO MAGAZINI WA BENA KRISTU MULI CILA CALO ULEKABILWA IFYA BUPE NA FIMBIPO UKUFUMA KU BENA KRISTU BA MULI ICO CALO ABAIPELESHE UKUTUNGILILA UMULIMO WAKWA LESA MU KUPELA
01-200918-120021_bem_d31_elicit_23  BUSHE KUTI CABA CAKUTILA LESA ALEFWAYA UKUMIBOMFYA IMWE MULI UYU MUSANGO
01-200918-120021_bem_d31_elicit_24  CILA CILONGANINO CONSE CA MU CMML MU NORTHERN PROVINCE LUAPULA NA COPPERBELT CIKAPOKELELA MAGAZINI UMO UMUKU UMO PA KULENGA WISHIBIKWE 
01-200918-120021_bem_d31_elicit_25  KU NTANSHI IYI MAGAZINI UKALASHITISHIWA PA MUTENGO WA THREE THOUSAND KWACHA 
01-200918-120021_bem_d31_elicit_26  MUKAUSANGA MU MA BOOKSHOPS YA BENA KRISTU
01-200918-120021_bem_d31_elicit_27  MUKULUNDAPO MULI CILA PROVINCE IFILONGANINO FYA MU CHRISTIAN BRETHREN ABAKATEMWA UKULAPOKELELA UYU MAGAZINI CILA NSHITA BAKAPEKANYA INSHILA YA KUSHITISHISHAMO MU NCENDE BALI
01-200918-120021_bem_d31_elicit_28  TWAKULABIKA ISHINA LYAKWA KALEMBA MU BWIPI ICILANGILILO OM LUANSHYA 
01-200918-120021_bem_d31_elicit_29  ICI CILAKOSELESHA BAKABELENGA UKUPOKELELA AMATONTONKANYO YAKWE UKWABULA UKUPUMFYANISHIWA NO LUSE NANGULA ULUPATO LWA KWA KALEMBA UYO 
01-200918-120021_bem_d31_elicit_30  LELO NGA CAKUTILA MULEFWAYA UKWISHIBA PALWA KWA KALEMBA BA EDITOR BAKAMULONDOLOLWELA
01-200918-120021_bem_d31_elicit_31  TULESUBILA UKUTI UYU MAGAZINI UKAFWILISHA MU KULANSHANYA PAKATI KA IFWE FWE BENA KRISTU PANTU LIMO TWIKALA UMUTALI UKUFUMA KULI BENA 
01-200918-120021_bem_d31_elicit_32  BOMFYENIKO IYI NCENDE IPYA MU KUSAMBILILA NO KUCINJANYA AMATONTONKANYO NA BAMBI
01-200918-120021_bem_d31_elicit_33  NGA NAMUKWATA AMEPUSHO TULEMBELENI 
01-200918-120021_bem_d31_elicit_34  BONSE TULECITA ICI PA MUKU WAKUBALILAPO
01-200918-120021_bem_d31_elicit_35  NATUSAMBILILE CA PAMO IFYO TWINGACITA BWINO
01-200918-120021_bem_d31_elicit_36  BA NATULEYATEAM BAMUPOSHA
01-200918-120021_bem_d31_elicit_37  BADIKONE BALEYA FYE PANONO PANONO KANO FYE UKUPOSHA ABAPITANSHILA 
01-200918-120021_bem_d31_elicit_38  ILYO BAFIKILE PA MPELA YA MUSEBO BAALUKILE KU KULYO NO KUTWALILILA UKWENDA MPAKA BAFIKILE PA NG'ANDA IYAKWETE IBALA PANTANSHI ILYALIMINWE BUSAKA BUSAKA
01-200918-120021_bem_d31_elicit_39  THOMAS UWALIPO MUKALAMBA PALI BADIKONE BONSE AINGILE MU LUBANSA LWA NG'ANDA NO KUBILIKISHA ATI YOHANE BUSHE EMO ULI
01-200918-120021_bem_d31_elicit_40  ELYO MU NG'ANDA MWAFUMINE UMULUMENDO UWAMUBILI UUNONO KABILI UWASALAPUKA
