01-201002-011519_bem_fb0_elicit_0  CIPANDE CALENGA IKUMI
01-201002-011519_bem_fb0_elicit_1  NATUBALE TUBWELELE KUNUMA TUMFWE IFYO JONI NAO ASHELE ACITA
01-201002-011519_bem_fb0_elicit_2  JONI ILYO AFIKA PA NGANDA UKUFUMA KU NCITO ASANGA PA NGANDA TAPALI NELYO UMO 
01-201002-011519_bem_fb0_elicit_3  AMONA LOKO E ULEPEPELELA PA MWINSHI 
01-201002-011519_bem_fb0_elicit_4  UKULOLESHA MU CIKINI UMUFUUKE CUSHI MWENDELE NO TUNYELELE 
01-201002-011519_bem_fb0_elicit_5  ATONTONKANYA ATI NALIMO UMUNANDI UBULWELE BUSHELE BWAMUTIKISHA KUTI NALIMO NABAYAMUTEEKA KU CIPATALA NGA EKO ELE
01-201002-011519_bem_fb0_elicit_6  ABUULA KII WAKWE AISULA ICIIBI AYA MUPUTULE KU BETI 
01-201002-011519_bem_fb0_elicit_7  AMONA KWENA BETI NABANSHIKA BWINO LELO AMASHITIBETI NA MABULANGETI YAMO TAPALI 
01-201002-011519_bem_fb0_elicit_8  ALOLESHA APO ASHILE INKOLOKO YAKWE PA TEBULO TE YAKUMONA LILUBA WALYA 
01-201002-011519_bem_fb0_elicit_9  APO NO MUTIMA WAFUMA ALOLESHA KU CIBUMBA AMONA AMADRESHI YAKWA JANET NO TUPE TWAKWE UTWINGI TAMULI NA SUTIKESHI WAKWA JANET WINE 
01-201002-011519_bem_fb0_elicit_10  LYENA  AISAFUMA ULUBILO KU KWIPUSHA ABENA MUPALAMANO 
01-201002-011519_bem_fb0_elicit_11  AIPUSHA PABA PATATU BAMWEBA  FYE UKUTI UKUFUMA ULUCELO TABAMUMWENE NAMU MENSO 
01-201002-011519_bem_fb0_elicit_12  KANSHI AKAICE KAMO PALI TULYA TUTATU TWALI TUSHINDIKE JANET KATESHA E KAYASUKA AKATI
01-201002-011519_bem_fb0_elicit_13  ALA BA JANET NABAYA KU NDOLA NIFWE TWACIBATWALA NA KU KUNINA BASI ULUCELO
01-201002-011519_bem_fb0_elicit_14  JONI ELE ULUCELO NA NSHITA NSHI
01-201002-011519_bem_fb0_elicit_15  AKAICE NDETONTONKAYA TAPACIPITA NSHITA NKALAMBA APO MWALI MWAILA KU NCITO
01-201002-011519_bem_fb0_elicit_16  BWANGUBWANGU AMANO YAKWA JONI YAISUKA AMONA NO MULANDU ULENGELE UKUTI JANET ABUTUKE 
01-201002-011519_bem_fb0_elicit_17  AILUKA NO BULWELE BWAKWE UKUTI BWA BUFI ALEFWAYA INSHILA YA KUFYUKILAMO
01-201002-011519_bem_fb0_elicit_18  PA NSHITA INE ILYA JONI AYA KWA BANALUME KU KUBASHIMIKILA ICIPONENE KU NGANDA KUMWAKWE 
01-201002-011519_bem_fb0_elicit_19  BANALUME BAYAKALIPA SANA PA MULANDU WAKUTI JONI ALUFYA IFIPE IFINGI 
01-201002-011519_bem_fb0_elicit_20  BATI NO KUTI TEFYO NAKWEBELE WE MWANA WANI ALA BATILA AKANWA KA MWEFU TAKABEEPA NAKABILI ABATI UMUKALAMBA APUSA AKABWE AKEBO TAPUSA
01-201002-011519_bem_fb0_elicit_21  JONI ICAMUSAKAMIKA NO KUCILA NI NKOLOKO YAKWE IYO ATEMWA NGO MWANA AEBA BANALUME ATI YAMA INE PA THIRTY NDI NO KUYA NAFWAYA JANET
01-201002-011519_bem_fb0_elicit_22  BANALUME CILYA BATI BAMULESHE ABEEBA ATI 
01-201002-011519_bem_fb0_elicit_23  MWITILA NDEFWAYA UKUYAMUBWESHA IYOO NEFWAYA UKUYALONDOLAKO FYE UTUPE TWANI UMWINE WENA NSHAKAMUSAKAMANE NAKABILI
01-201002-011519_bem_fb0_elicit_24  BANALUME WE MWANA WANDI KUTI WANUFWAYA SHANI UO USHISHIBE NOOK ALOLELE
01-201002-011519_bem_fb0_elicit_25  JONI KANSHI NISHI APUPUKILA MU MULU LELO NGA NI MUNO CALO INE NSHAKABWELELE KUNO KANO NKAMUSANGE
01-201002-011519_bem_fb0_elicit_26  BANALUME ABATI WE MWANA WANDI SUULAKO ICIKULU MWEO UKANONKA FIMBI BATILA SUNGO MUKOSHI UBULUNGU TABUBULA
