04-200916-223805_bem_346_elicit_0  WALAMPELAKO LIMO
04-200916-223805_bem_346_elicit_1  NIBANANI BACISA NAENA
04-200916-223805_bem_346_elicit_2  BAMUNINA BAKWE NIBANANI
04-200916-223805_bem_346_elicit_3  BA KAFUNDISHA BOBE BALIMUTEMWA KWENA
04-200916-223805_bem_346_elicit_4  AYA MAPELA YOBE TE
04-200916-223805_bem_346_elicit_5  KULI INE NGACAKUTI CIBE UKUBA KUBANA BANDI 
04-200916-223805_bem_346_elicit_6  KULI ABO ABAPWISHA ISUKULU
04-200916-223805_bem_346_elicit_7  LILYA NGA BAKULA BAMBI KUTI BABA BASHING'ANGA
04-200916-223805_bem_346_elicit_8  NABAMBI BABA BA KAFUNDISHA
04-200916-223805_bem_346_elicit_9  NANGU KUTI BASALAKO IMISANGO YA NCITO BACITA
04-200916-223805_bem_346_elicit_10  PANTU LILYA UMWANA NGA AKULA AFWILE ABA UWAKUSALA EFYO ALEFWAYA UKUCITA
04-200916-223805_bem_346_elicit_11  IWE NGOMUFYASHI KULASUBILAFYE
04-200916-223805_bem_346_elicit_12  NOMBA PAMPELA BALAISALILA ABENE PA LWABO
04-200916-223805_bem_346_elicit_13  MWALISHIBA UKUTOLOKA NINSHI
04-200916-223805_bem_346_elicit_14  NGA UKUTOLOKA CINSHI
04-200916-223805_bem_346_elicit_15  EHE MUCITA SHANI
04-200916-223805_bem_346_elicit_16  BUSHE UKUTOLOKA CIMO CINE 'UKUNYANTISHA AMAKASA' KWATI NIFI
04-200916-223805_bem_346_elicit_17  IWE TOLOKA E
04-200916-223805_bem_346_elicit_18  EYA NDEFWAYA IWE WIMBE 'TULETOLOKA'
04-200916-223805_bem_346_elicit_19  ELO WATOLOKA NAKABILI TOLOKA ELO WIMBE
04-200916-223805_bem_346_elicit_20  FINSHI MULECITA
04-200916-223805_bem_346_elicit_21  TULETOLOKA TULETOLOKA
04-200916-223805_bem_346_elicit_22  EYA ABALUMENDO NA BAKASHANA BASUMA IKALENI NOMBA
04-200916-223805_bem_346_elicit_23  MWILA ANGALA UKULASHINGULUKA BA GELEDI ONE
04-200916-223805_bem_346_elicit_24  KENNEDY NINSHI TAWACISHILA KU SUKULU
04-200916-223805_bem_346_elicit_25  AMABUKU YALI KUMWABO BAMAYO SENGE
04-200916-223805_bem_346_elicit_26  YESA AYO 
04-200916-223805_bem_346_elicit_27  PANTU AMA BUKU YAKWA FARAI
04-200916-223805_bem_346_elicit_28  NGATAUKWETE AMABUKU TAUFWILE WAISA KU SUKULU
04-200916-223805_bem_346_elicit_29  LINTU NACIKONKOMESHA NACIMUSANGA ALEANGALA PA NG'ANDA
04-200916-223805_bem_346_elicit_30  PA MWENU PA NG'ANDA
04-200916-223805_bem_346_elicit_31  KENNEDY TAULEFWAYA UKWISA KUSUKULU
04-200916-223805_bem_346_elicit_32  BUSHE TAULEFWAYA
04-200916-223805_bem_346_elicit_33  BUSHE WALINTEMWA
04-200916-223805_bem_346_elicit_34  NAPAPATA MWIPUSHEKO UMUNOBE MUCI SOLI NGA ALINTEMWA
04-200916-223805_bem_346_elicit_35  BUSHE OMFWA ICI NYANJA NANGU CI SOLI
04-200916-223805_bem_346_elicit_36  ALOMFWA ICI NYANJA
04-200916-223805_bem_346_elicit_37  BUSHE WALINTEMWA  NALIKUTEMWA
04-200916-223805_bem_346_elicit_38  WALINTEMWA
04-200916-223805_bem_346_elicit_39  NOMBA NGAWALINTEMWA CINSHI ULOFELWA KU SUKULU
04-200916-223805_bem_346_elicit_40  NGAWALINTEMWA BAKAFUNDISHA BOBE UKALAISA KU SUKULU LYONSE
04-200916-223805_bem_346_elicit_41  PANTU UKALAFWAYA UKUBAMONA LYONSEFYE
04-200916-223805_bem_346_elicit_42  NOMBA KABIYE KASENDE AMA BUKU YA KU SUKULU
04-200916-223805_bem_346_elicit_43  EYA TULEYA
04-200916-223805_bem_346_elicit_44  ELO NDEFWAYA UKUMONA AMA BUKU INO INE NSHITA
04-200916-223805_bem_346_elicit_45  BATATA TABATUTWELEPO KU MUSHI LINTU TWALEKULA
04-200916-223805_bem_346_elicit_46  KANSHI NSHALEUMFWIKISHA IMIBELE YA MUSHI ONSE
04-200916-223805_bem_346_elicit_47  NDEFWAYA ABA ABAICE BAKULE ELO BAKEBEKO UMUNTU UMO AKASUBA KAMO EYA
04-200916-223805_bem_346_elicit_48  PAKWEBA ATI UKUBAMONAKOFYE  BASELAKOFYE MULICIMO MUMWEO WABO
04-200916-223805_bem_346_elicit_49  PANCENDE PAMO UKU LIMBI ECINGABAPO BWINO
