02-200918-113007_bem_197_elicit_1  INCENDE SHACINTUBWINGI TASHABA NAMWINE
02-200918-113007_bem_197_elicit_2  UMUNTU UUKWETE BALUPWA MUMUSHI KUTI BAMUBELELAKO ULUSE NGACAKUTI ALUFYANYA
02-200918-113007_bem_197_elicit_3  UKUPOSHA UKWABULA UMUCINSHI
02-200918-113007_bem_197_elicit_4  NANGU CAKUTI MUNONKO ENGAKULUFYANYA TAUFWILE KULAPANA NANKWE UFWILE FYE UKUMUTEMWA
02-200918-113007_bem_197_elicit_5  UULEUPA UWAKWATAPO ABANA AFWILE ASUMINA NOKUSUNGA ABANA BAKWE
02-200918-113007_bem_197_elicit_6  IFYAKULYA NANGUFYE TAFIWEME TAUFWILE KUPONTA NGA NIBA NOKO BEPIKE
02-200918-113007_bem_197_elicit_7  UUSHILI MUFYASHI OBE TEKUTI ASAKAMANE PA MUTENDE NO BUMI BOBE
02-200918-113007_bem_197_elicit_8  UMUNTU UWASENDA IFINTU FIMO AFWILE KWENA UKUSHAKO FIMO
02-200918-113007_bem_197_elicit_9  UMUNTU ONSE ALIKWATA INSAMBU SHAKUBOMFYA IFIPE FYAKWE UKWABULA UKUTI APELWE UMULANDU
02-200918-113007_bem_197_elicit_10  ILYO UMUNTU ATENDEKA UMULIMO UMO NINSHI NAKWATA AMAPANGE AYAKUBOMBELAPO
02-200918-113007_bem_197_elicit_11  UKUFWILA MULUFYENGO APABULA UMULANDU
02-200918-113007_bem_197_elicit_12  UKUMWA UKWABULA ULUSE
02-200918-113007_bem_197_elicit_13  UMUNTU UUSHILIPILA NKONGOLE PAKUMUFUNDA KUMUTWALA KU CILYE
02-200918-113007_bem_197_elicit_14  IMBOO IWAMAFYE NGOLELYA NOMBA NGATAILAFWA CISWANGO ICIBI
02-200918-113007_bem_197_elicit_15  ABEKALA CALO NGABALEUMFWANA NE MFUMU NOKUBOMBA NAYO BWINO KUTI BAIKALA UMUTENDE
02-200918-113007_bem_197_elicit_16  ILYO ULEIKALA MUMUSHI WABENE UFWILE UKUKONKA INTANBI SHABO
02-200918-113007_bem_197_elicit_17  UKUCITA UMUNTU KWATI TAWAMWISHIBA
02-200918-113007_bem_197_elicit_18  UKUIBIMBA MU BWAFYA PMULANDU WALUSE LOBE
02-200918-113007_bem_197_elicit_19  ULINGILE WALINGA IFYO LEBOMBA NAMAKA YANTU UKWETE
02-200918-113007_bem_197_elicit_20  ULINGILE WALINGA IFYO LEBOMBA NAMAKA YANTU UKWETE
02-200918-113007_bem_197_elicit_21  UMUNTU UWATEMWA LYONSE UKUBUTUKA KWATI NIMBWA
02-200918-113007_bem_197_elicit_22  UMWAUME WINEWINE ALINGILE UKUKOSA TALINGILE UKUNENUKILA PAKANTU AKACABECABE
02-200918-113007_bem_197_elicit_23  UMUBOMFI MUSUMA TAFWILE UKULACEMENENWA
02-200918-113007_bem_197_elicit_24  INDUPWA KUTI SHAPUSANA NOMBA UBWAFYA TABUKULA SANA NGEFYO CINGABA KULI BAMBI BAMBI
02-200918-113007_bem_197_elicit_25  UMUNTU UWAMAKA ALINGILE ACIMFYANYA NOWAMAKA MUNANKWE
02-200918-113007_bem_197_elicit_26  ILYO UMWINE WAMBWA ALEFWAYA UKUIKANDA TALINGILE ACISHA MUCIPPIMO 
02-200918-113007_bem_197_elicit_27  NABAFYASHI BENE TABAFWILE BAKALIPA SANA KU BANA BABO
02-200918-113007_bem_197_elicit_28  UUSANGWA NA BANTU LYONSE KUKABAKO UMO UWAKUMUKANYAKO FIMO PAFYO ALELANDA NANGU IFYO ALECITA
02-200918-113007_bem_197_elicit_29  UMWANAKASHI UNTU UMULUME ALUBILE FYE MUNSHILA IYABULO KWISHIBA BWINO
02-200918-113007_bem_197_elicit_30  UMULANDU UWAISA PABWELU NANGU ICIKUKO CA MALWELE ICAPONEKA MUMUSHI
02-200918-113007_bem_197_elicit_33  UMUNTU UUSHIPONYA FILAMBA NANGUFYE CIBIPE SHANI
