02-200918-085201_bem_197_elicit_0  UKULANDA MIPONTO MIPONTO
02-200918-085201_bem_197_elicit_1  EFISOSA UMUNTU UUKWETE FIMO IFYO ABANTU BALEKABILANICOFYE MULEFWAYA FIMO KULI INE ECO MULELANDILE FYO
02-200918-085201_bem_197_elicit_3  UFWILE WABELESHA UKULAWIKISHANYA NOKUMFWANA NABANOBEWILATILA NSHAKATALE NWAPO NANGU FYE MENSHI
02-200918-085201_bem_197_elicit_5  UKULAYA IFYO USHAKAFIKILISHE
02-200918-085201_bem_197_elicit_6  UKULAYA IFYO USHAKAFIKILISHE
02-200918-085201_bem_197_elicit_7  UKUITAKISHA PA FINTU IFYO TEKUTI UCITE
02-200918-085201_bem_197_elicit_8  NGATAMUPANGENE IFYAKULUBULULA UMULANDU KUTI MWAFILWA UKWAFWANA MUKUPWISHA UYO MULANDU
02-200918-085201_bem_197_elicit_9  UKUBOMBELA LIMO KWALIWAMA UKUCILA UKUBWELELA MUKUBOMBA FIMO FINE IFYO WASHILE UKWABULA UKUPWISHA
02-200918-085201_bem_197_elicit_10  UMWAICE NGATALEUMFWILA ABAKALAMBA UKUTI ATALUKE KU FYABIPA BALAMULEKA ATI AKAIMWENE UMWINE
02-200918-085201_bem_197_elicit_11  UKUTUMPIKA UMWANA
02-200918-085201_bem_197_elicit_12  UKUTUMPIKA UMWANA
02-200918-085201_bem_197_elicit_13  UMUNTU UWABA BWINO LYONSE PAKABAKO UMO UUKALAPULAKO KULI WENA
02-200918-085201_bem_197_elicit_14  BUCINTOMFWA BULALETELELA
02-200918-085201_bem_197_elicit_15  TAUFWILE WATENDWA NOKUIBWELAMO NGA ULI UWABUMI UKASUKA UKAKWATE NEFYUMA FINE
02-200918-085201_bem_197_elicit_16  UMUTEKATIMA ULACIMFYA IFINGI UKUCILA UBUNKALWE
02-200918-085201_bem_197_elicit_17  UMUNTU UWABOMBESHA PAKUKWATA ICINTU EUFWILE UKUKWATILAMO NO BUNOONSHI UBWINGI
02-200918-085201_bem_197_elicit_18  UMUNTU ONSE ALAKWATAPO AKABEPESHO KAMO PAKUTANDALA KWAKWE ELYO NINSHI PALI NAFIMBI EFYO ALEFWAYA
02-200918-085201_bem_197_elicit_19  LESA TABA NAKAPATULULA APELA FYE BONSE
02-200918-085201_bem_197_elicit_20  LESA TALABA KUCA MWEO ICILI CONSE FYONSE FYE ALAFISUNGA
02-200918-085201_bem_197_elicit_21  TAPABA UWINGAPINGULA LESA IFYAKUCITA AIBOMBELA FYE UMWINE IFYO ATEMWA
02-200918-085201_bem_197_elicit_22  UMUSANGO LESA ABOMBELAMO WALIIBELA KULI FWEBANTU PANTU APAALA TAPESHIBIKWA
02-200918-085201_bem_197_elicit_23  UMUNTU UWACIFWAPO ELYO ATUTUBUKA
02-200918-085201_bem_197_elicit_24  UMUNTU UWACIFWAPO ELYO ATUTUBUKA
