01-201004-205737_bem_fb0_elicit_0  ELYO MFUBU ATENDEKA UKUKULA IFIBULA KUTI NGA NALULIKA PA MUKU UMO KWATI NI KANKUNGWE ALEFUMAKE
01-201004-205737_bem_fb0_elicit_1  UMO UMUNTU ALECITA IFYO FINE AMONA UBUTALA UBWAISWILE AMALE YALAMONEKELA MU NSHINGWILO 
01-201004-205737_bem_fb0_elicit_2  UMUNTU AKUTUMANA ALATONTONKANYA ATI AWE MWANDI NKESAFWA KU NSALA AMAINSA AMALE NGA YAPWA UKUPELA CILYA CINTU 
01-201004-205737_bem_fb0_elicit_3  NOMBA NCITE SHANI 
01-201004-205737_bem_fb0_elicit_4  KWENA NACITEMA UBUKULA UBUKALAMBA NGANSHI NOMBA IFYAKULYA FYA MULI BULYA BUKULA FIKESAMONEKA ULYA MWAKA 
01-201004-205737_bem_fb0_elicit_5  KANSHI ILI LYONSE TUKALALYA NSHI NGA CAPWISHA AMALE YONSE 
01-201004-205737_bem_fb0_elicit_6  OH NAISHIBA IFYAKUCITA NGA CAPWA UKUKULA IFIBUULA 
01-201004-205737_bem_fb0_elicit_7  NKACILONGELA UBWALWA 
01-201004-205737_bem_fb0_elicit_8  CIKESENWA KUNO MITANDA 
01-201004-205737_bem_fb0_elicit_9  NGA CAKOLWA CIKASENDAMA MU MUTANDA UMO EMO NKACOCELETE ULEKE CIKAPILE MWEKA CIKAFWE
01-201004-205737_bem_fb0_elicit_10  NAKAENDI PANUMA YA NSHIKU SHINONO IFIBUULA NO KUPWA FYAPWA NINSHI APO UMUNTU ALIEBA NO MUKASHI UKUPEKANYA UBWALWA 
01-201004-205737_bem_fb0_elicit_11  UBWALWA BUSHIPYA FYE UMUNTU UKUBUULA AKAPAAPALA UKUMFWA AUMFWA NI NUNKWE WA BWALWA KU BUKALI BWA KANYANG'UNI 
01-201004-205737_bem_fb0_elicit_12  ULUCELO UMUNTUNSE ALUNGAMA NA KULI BAMFUBU ABASANGA ATI SHIKULU NAMUTASHA SANA PA MULIMO UYU MWABOMBA 
01-201004-205737_bem_fb0_elicit_13  E CALENGA UMWINAMWANDI NAMUPEKANISHISHA UTWAKULYA TWAKUMUTEBETA TULEYENI BONSE KUMWANDI MUYEMULYE
01-201004-205737_bem_fb0_elicit_14  BAMFUBU MUKULU BAKAKAMUKA BAIPOSA NA MU NSHILA BAFIKA NA PA MITANDA PA MUNTUNSE 
01-201004-205737_bem_fb0_elicit_15  UMUNTUNSE ABUULA NE NSUPA IYA MUTIMA WA NSEFU ATEKA MA MU LWALALA AKANSAPO NA MENSHI UMWINE AKWENSAPO NO MUSA APEELA BAMFUBU
01-201004-205737_bem_fb0_elicit_16  KUTI BAMFUBU UKUIKWENSAPO NE FILAMBA FYALAPONA NA MU MENSO 
01-201004-205737_bem_fb0_elicit_17  KUTI BALENUKAPO FYE BALAKUNTA FYE UMUTWE ABATI YABA YABA UBU BWALWA UBUKALI EE MWANDI BAMAYO BAISHIBA UKUSASHIKA UMUSHETO 
01-201004-205737_bem_fb0_elicit_18  EYA MWANDI LELO TULEKUMANA NE FILYO
01-201004-205737_bem_fb0_elicit_19  UMUNTUNSE ATI ALA MUKWAI NIFI FINE UMUKASHI WENU UYU ALUMA NGANSHI AMABOKO 
01-201004-205737_bem_fb0_elicit_20  SONWEPO NO KUNWA WE MWINE KABILI BATILA TABULONGELWA
01-201004-205737_bem_fb0_elicit_21  MUKA MUNTUNSE AISANWAPO ILYO APWA UKUNWA ASOSA ATI 
01-201004-205737_bem_fb0_elicit_22  AWE IFIMALWA FYAKALIPISHA MUNO IFI LEKENI NCITILEPO ABANTU AKALUTOSHT BASANSHILE UBWALWA KUTI BAKOLWA NGANSHI NGA BABUNWENA MU NSALA
01-201004-205737_bem_fb0_elicit_23  BAMFUBU ABATI ALA MUKWAI BAMAYO MWATI IFWE NGA TULESHETA UMUSHETO WAWAME FI TUFWAYA NA MALI YENE ALA IYO MUKWAI BESAKAMANA TUKALYA MAILO ULUCELO
01-201004-205737_bem_fb0_elicit_24  UMWANAKASHI ATI ENDITA MUKWAI NATESHA KANSHI 
01-201004-205737_bem_fb0_elicit_25  MU MUTIMA ATI NO KUTI LELO LYENA ULECIMONA ICAMWENE MUSHOLOMWE 
01-201004-205737_bem_fb0_elicit_26  PANTU WIBA ALIMWEBELE INKAMA AKAKILE
01-201004-205737_bem_fb0_elicit_27  BAMFUBU MUKULU BAPONA NA PA BWALWA BUIYA KUTI NGA BAFUBATA PEMBE MU CINWA NO MUPU UWAKABA ULEFUMINA MU MYONA ULETANDULA NE CIMENA CA BWALWA PA NSUPA
01-201004-205737_bem_fb0_elicit_28  UMUNTUNSE ALEITINISHA FYE 
01-201004-205737_bem_fb0_elicit_29  WENA KUTI NGA AYA KU KUNWAPO ALENUNSHAPO FYE
01-201004-205737_bem_fb0_elicit_30  KUTI CILYA AKASUBA KALAYA KU KUWA BAMFUBU MUKULU BABUFWALA NGE SUMBU 
01-201004-205737_bem_fb0_elicit_31  KUTI PA KUFUMINA PANSE KU KUPOSA AMENSHI 
01-201004-205737_bem_fb0_elicit_32  BALEPAMPANTILA FYE INSHILA NGO MUFITILE 
01-201004-205737_bem_fb0_elicit_33  KUTALA BAYAITOBA UMUTWE KU IINGWE 
01-201004-205737_bem_fb0_elicit_34  BABWELA BAITENEKA NA FILYA NA NYEKA 
01-201004-205737_bem_fb0_elicit_35  BAILUMBA NO KUILUMBA ABATI TWAKUMANA NO MUSHETO NE MWANA COFWE 
01-201004-205737_bem_fb0_elicit_36  UMUNTUNSE KUTI ABEKATA FYE PA KUBOKO E PAKUBALANGA UMWINSHI ELYO BAFUMINA PANSE
01-201004-205737_bem_fb0_elicit_37  ALA NOMBA ICISHELE BAMFUBU KUNYONGANA FYE PA MUKUPO MU ISAMBA LYA NSUPA UMUNTU ALAFUMYAMO NE NSUPA YA BWALWA ATWALA NA KU GANDA KUMWAKWE
01-201004-205737_bem_fb0_elicit_38  MWALISHIBANA TULO TWA MFUMU BAMFUBU KUTI WATI NABAFWA NECO MWALUNDA NO BWALWA 
01-201004-205737_bem_fb0_elicit_39  IMINKONONO YENA KUTI ULEYUMFWILA KU ISHILYA LYA KAMANA
01-201004-205737_bem_fb0_elicit_40  UMUNTUNSE AISABUULA NE FIBULA IFVAUMA ALASAKILISHA NA PA MWINSHI ALELETA NE MILANDO ALAILIKISHAKO 
01-201004-205737_bem_fb0_elicit_41  KUTI NELYO AMABULA YAWE SHANI PA MUBILI WA BAMFUBU TE KWAKUMFWA NAKALYA
01-201004-205737_bem_fb0_elicit_42  UMUNTUNSE ALINGA FYE CILYA UTULO TWAFUNDA KULI BAMFUBU ABUULA NO MULILO ASHINGULUSHA NO MUTANDA ONSE UMUTANDA WATI NATITITITITI
01-201004-205737_bem_fb0_elicit_43  KUTI BAMFUBU UKWISABUKA KU BUKALI BWA MULILO BAMONA FYE BALI MU WINGI 
01-201004-205737_bem_fb0_elicit_44  NECO BAKOLELWE KUTI APO BAPUNKA BABWELA BAISAWILA NA MU MULILO UBELELE BUSHILYA BWA MUTANDA ALA NOMBA KUPUNDA UMUSOWA UO BASHABALA ABAPUNDA KALE 
01-201004-205737_bem_fb0_elicit_45  ICISHELE NOMBA BAUMFWA UMULILO WAPITA SANA PA MUBILI E PAKWISAFUNDUMANA NA MAKA YABO YONSE KUTI NA PULATA NO MUTANDA WINE WAKONKA NOMO BELE BAYAUSHILA FYE NGOKO
01-201004-205737_bem_fb0_elicit_46  NOMBA KUYA FYE ICIYEYE TE KUBUTUKA IYO KABILI KUTI APO BALUNGEME FYE NI APO PENE 
01-201004-205737_bem_fb0_elicit_47  UMO BALEBUTUKA IFYO FINE BAIBUKILA FYE UKO BAWILA MU MUMANA
