03-201007-004908_bem_798_elicit_0  SHAMITOMBO NA MARIA VIGODOLO
03-201007-004908_bem_798_elicit_1  MU BLUEVILLE MWAKABA NA SEE KU KULUMBILISHA SHAMITOMBO NO BUCENJESHI BWAKWE 
03-201007-004908_bem_798_elicit_2  AISHIBIKWA NA KU NKOKO 
03-201007-004908_bem_798_elicit_3  ASUKILE BAMUTWALA NA KU KUYAMONA IMFUMU HUGO IYAISHILE KU KULOSHA MWANA WAKWE ANASTASIA MUKA ANATOLE NO KWISAMONAKO ABANTU BAKWE BAMOBAMO MU BLUEVILLE 
03-201007-004908_bem_798_elicit_4  UMUTIMA WAKWE WASEKELE CIBI PA KUMFWA IFYO SHAMITOMBO ABOMBESHE NA MAAKA YAKWE YONSE UKULANDULULA IFIPONDO FYAIPEYE MWANA WAKWE MUKA ANATOLE 
03-201007-004908_bem_798_elicit_5  ASUKA ALAMWIPUSHA NOKO AFUMA 
03-201007-004908_bem_798_elicit_6  NAO ALONDOLOLAFYE TONSE NE CAMWENSHESHE 
03-201007-004908_bem_798_elicit_7  IMFUMU MUKWAI KULAPUKUNYAFYE UMUTWE AITI KANSHI ULI MFUMU 
03-201007-004908_bem_798_elicit_8 YALANGULUKA YAIBUKISHA NA KU MWANA WAKWE MANA NOMBA NINSHI NAPWA NA MASAMBILILO YAKWE ALEFUNDA NA PA MINSHONI UKUBELENGA 
03-201007-004908_bem_798_elicit_9  ELYO AMAANO YABWELA YAILUKA NO KUTI LINGI WA BWINGA UNTU OFISHAMO ABAANA BAKWE NAO BALIBA 
03-201007-004908_bem_798_elicit_10  KANSHI NINSHI KANO BASHITAFYE UMBI 
03-201007-004908_bem_798_elicit_11  NACO CO KUTI CAPOSE NSHITA 
03-201007-004908_bem_798_elicit_12  AMULEKELEFYE AYA 
03-201007-004908_bem_798_elicit_13  ELYO UMWINE ASHALA ALETONKANYA IFYAKUCITA 
03-201007-004908_bem_798_elicit_14  INSHIKU SHAKONKELEPO APO BAIKATILE BA MANGALA SHAMITOMBO ALIPOKELE KA LIFI AKANOONO AKAMILUNGU IBILI 
03-201007-004908_bem_798_elicit_15  PA NSHIKU YA MULUNGU INE YAKONKELEPO AYA NA KU NANDA YA MULUNGU KU KUPEPA 
03-201007-004908_bem_798_elicit_16  BASHIFUMAFYE AYA NA KULI MARIA VIGODOLO ALAMUPOSHA 
03-201007-004908_bem_798_elicit_17  BATI BALANDE CINOONO IFI MARIA E PA KUMUSENDA KU MWAKWE ATI BAYE EKULEKO CINOONO ICO ELYO BAFUMAFYE MUCALICI
03-201007-004908_bem_798_elicit_18  UYO ONSE USHATALA AMONA UKO ABANAKASHI NABO BATEMWA ABAUME ABALE ATONTONKANYEFYE UKUTI IMFWA YA KWA ANASTASIA YALIKUBWILE MUNYINA UMUTIMA 
03-201007-004908_bem_798_elicit_19  MBA NGA MARIA TENGATEMWA SHAMITOMBO KU MULANDU UMBI ALINGILE UKUMUTEMWA PAKULANGAFYE NSANSA SHA ICO ABOMBESHE PA KULANDULA BA MANGALA 
03-201007-004908_bem_798_elicit_20  UMUSHI ONSE NINSHI BASOWESHAFYE ABAU SHAMITOMBO BAKAMUPO BUKALAMBA
03-201007-004908_bem_798_elicit_21  KABILI NABAISHIBE UKUTI NI MFUMUKU MWABO KUNTU AFUMA NIOMBA UMUCINSHI BAMUPEELO UKALAMBA SAANA 
03-201007-004908_bem_798_elicit_22  NA MARIA WINE KUTI UMO ASHIPIKISHE ASUKA ALAKUMBWA UKUTI ULYA MUNTU KANSHI ESYO UMUTIMA WAKWE WABA FILYA FINE 
03-201007-004908_bem_798_elicit_23  CALEMUSEKESHA UKUMONO KUU NSHITA YONSE IYI BAIKELE NANKWE TABALEUMFWA KUU AITASHE NANGUFYE UKUILURNBULA NAO NI MFUMU NAKALYA 
03-201007-004908_bem_798_elicit_24  NECI KABILI NO KUBAUISHIWA ALIBAUISHIWA NE SHINA LYA YOANI
03-201007-004908_bem_798_elicit_25  APO BALENWO TUMUSUNGA BALEN WAFYE CINSHINSHI 
03-201007-004908_bem_798_elicit_26  KUTIFYE BASUPUNI BEKA EBO ULEUMFWA BALI NA NKOLONKOLO KU MBALE 
03-201007-004908_bem_798_elicit_27  ASUKA SHAMILOMBO E WATAMPE LYASHI EBELE
03-201007-004908_bem_798_elicit_28  BULYA BUSHIKU NALI KU MFUMU KU KUMONANA NA BA HUGO 
03-201007-004908_bem_798_elicit_29  MARIA KANSHI EFYO BAWISO BAWAMO MUTIMA CINECINE 
03-201007-004908_bem_798_elicit_30  NOMBA NICI IFYA KUTONTONKANYA FYAFULILEFYE NGANALANDILE FINGI 
03-201007-004908_bem_798_elicit_31  TWALIIKALA NABO INSHILA CINOONO 
03-201007-004908_bem_798_elicit_32  ELYO MARIA UMUUMA WATAMPO KUNSABAISHA KALE ILELO LYENA KANSOSE 
03-201007-004908_bem_798_elicit_33  NICIFYE NDI MWINAFYALO NALIMO TETI UNSUMINE PA LUPWA LWENU KABILI MULI BA KU BUFUMU INE NALIMO NDI MUPABI 
03-201007-004908_bem_798_elicit_34  UKUFUMAFYE PALYA PENE NAKUMWENENE NINSHI NDI MWENI AMAANO YANDI YONSE YALOLELE PALI IWE 
03-201007-004908_bem_798_elicit_35  ILYO NAUMFWILE UKUTI ULI WA KU LUPWA LWA BUFUMU UMUTIMA WACULILE CIBI 
03-201007-004908_bem_798_elicit_36  PANTU NALISULILE NATI CAPWA NALIMO TETI INE NINGAMUUPA 
03-201007-004908_bem_798_elicit_37  ELYO PAKATI APA LINTU WALI KU SUKULU KU KUPWILILA IFYA BUKAFUNDISHA NALEFWAYA NOKUTI NALIMO NSHIPIKISHE NKWIPUKISHE UKUU TUKOPANE NOBE
03-201007-004908_bem_798_elicit_38  LILYA WAISHILE MUKULOSHA ANASTASIA LYENA MWLANDI CAISHA NO MWANA 
03-201007-004908_bem_798_elicit_39  ELYO TETI NKUMEMO MWANDI PANTU NEFI FINE NALIMO NDEIPUSHAFYE NICIFYE BAULA APALI UMUNWE EPALI NE BALA
03-201007-004908_bem_798_elicit_40  MARIA PA KUMFWA AMASHIWI YA MUSANGO UYU CAMUPESESHE NA MAANO 
03-201007-004908_bem_798_elicit_41  IFYAKUTI ASUKE E FYAMUBULILE 
03-201007-004908_bem_798_elicit_42  KALE NA KALE ALETONTONKANYA IFYAKUCITA CILUMENDO ULYA UWAMUKUMPILEFYE KU MUTIMA LINU ACILIFYE UMWENI MU MPAPA SHAKWE 
03-201007-004908_bem_798_elicit_43  NOMBA IMPAPA SHALIMUFUMA PA MUBILI 
03-201007-004908_bem_798_elicit_44  ALISAMBILILA ALIBATISHIWA NOKUBATISHIWA 
03-201007-004908_bem_798_elicit_45  UMUTWE WAKWE WAKUPAPAFYE KU KUBOMBA ULUBILO 
